zip,2018-07
53575,249100
53590,262500
53593,369500
53704,217600
53711,279000.00
53714,210600
53718,248200
55016,249400
55024,246300
55025,247900
55033,233500
55038,206600
55044,338800
55068,289600
55075,208000.00
55076,218100
55082,312500
55102,231200
55104,208200
55105,347700
55106,181600
55107,183300
55109,227600
55110,266900
55112,262800
55113,264400
55116,340300
55117,182400
55119,212100
55122,247600
55123,326000.00
55124,259400
55125,292200
55126,290200
55128,226800
55129,380100
55304,307400
55305,349500
55306,282500
55316,244000.00
55331,517500
55337,243300
55343,
55344,238100
55345,346800
55346,339100
55347,404000.00
55369,292200
55372,319900
55374,343800
55378,302500
55379,239900
55401,355900
55406,252900
55407,254100
55409,320800
55411,164200
55412,163700
55416,337300
55417,262900
55418,249000.00
55419,
55420,240100
55421,217600
55422,235600
55423,249400
55424,580200
55426,258900
55427,259600
55428,222500
55429,208700
55430,187000.00
55431,287900
55433,227100
55434,229400
55435,180000.0
55437,308300
55441,338900
55442,338400
55443,273800
55444,241800
55447,373700
55448,239600
55449,307800
60002,204800
60008,203300
60010,431900
60013,205900
60014,206200
60015,459500
60018,266000.00
60020,115300
60026,576100
60030,206600
60031,209400
60035,
60042,165100
60046,196600
60047,408500
60048,394400
60050,175800
60051,169500
60053,290300
60056,288600
60060,230600
60061,303600
60062,418700
60067,
60068,370100
60073,152700
60076,312800
60077,256000.00
60085,115800
60087,150300
60089,287700
60090,200200
60097,132700
60098,183600
60099,129000.00
60101,243700
60102,227500
60103,252000.00
60104,127200
60106,
60107,194800
60110,170500
60115,132500
60118,203800
60120,174900
60123,191400
60124,306000.00
60126,413200
60131,204200
60133,199000.00
60134,335600
60137,395500
60139,191500
60140,215500
60142,258900
60148,247400
60152,
60154,237900
60156,215100
60164,191700
60169,222900
60174,248300
60175,383700
60177,214500
60178,176600
60181,216900
60185,243500
60187,311000.00
60188,241600
60189,358500
60191,216500
60192,333500
60193,218800
60302,262600
60402,209900
60403,162800
60404,227500
60417,167600
60422,184700
60423,312800
60429,103600
60430,134500
60431,210800
60435,149900
60439,334600
60440,191600
60441,191300
60442,225100
60443,163100
60445,122100
60446,172600
60451,282700
60452,190700
60455,192000.00
60459,190100
60462,228900
60463,272000.00
60465,173400
60467,299400
60473,161500
60477,179900
60478,96000.0
60487,234600
60490,303400
60491,312800
60504,208900
60505,137900
60506,186700
60510,264500
60513,233900
60515,335500
60516,318000.00
60525,301300
60526,334200
60538,202300
60540,399500
60542,236000.00
60543,262700
60544,223500
60545,173000.00
60554,253400
60558,555500
60559,289400
60561,303000.00
60564,417000.00
60565,353700
60585,325300
60586,229100
60605,363800
60607,417000.00
60608,291100
60611,426100
60616,299200
60617,103600
60618,374500
60625,288700
60629,164200
60630,287400
60631,334800
60632,184200
60638,205300
60641,290800
60642,463600
60646,397500
60652,173500
60654,442900
60655,247800
60657,414100
60660,247300
60661,425100
60706,266300
60707,230300
60714,280100
60804,176000.00
60805,189300
62034,210400
62035,124700
62062,216000.00
62208,114200
62220,89100
62221,163800
62223,117700
62234,109300
62294,178300
63005,539100
63010,163700
63011,304600
63012,167300
63017,349100
63020,
63026,199700
63028,181400
63034,187900
63043,173500
63049,169100
63051,158600
63052,208300
63090,164900
63108,278500
63109,175600
63110,159000.00
63116,120100
63117,243800
63119,226700
63122,314800
63123,150900
63125,130700
63126,204000.00
63128,251000.00
63129,207600
63131,545000.00
63139,151300
63141,441000.00
63143,175400
63146,205200
63301,185300
63303,224500
63304,238500
63366,204100
63367,233100
63368,237600
63376,200600
63379,
63385,226500
64012,162300
64014,172500
64024,146500
64029,
64034,242200
64055,139600
64057,168200
64060,253100
64063,182300
64064,279500
64068,193800
64078,194200
64079,276300
64080,211300
64082,319100
64083,225500
64089,235500
64111,234000.00
64113,416300
64114,186600
64118,156000.00
64119,163700
64133,117700
64151,224500
64155,207100
64157,267700
64701,141800
66062,267200
66106,128900
66109,208000.00
66208,294200
66213,359600
67037,164700
67060,122800
67203,115800
67205,233400
67206,235900
67207,147600
67208,147600
67209,161100
67217,95500
67218,100400
67220,153000.00
67226,203800
67230,285500
