Zip,Longitude,Latitude,MedianSalesPrice,QualifyingIncome,HousingAffordabilityIndex
6851,-73.405,41.14,417100,"$84,266.27",71.6016052325503
6877,-73.495,41.308,640300,"$129,359.12",46.6422451077568
6880,-73.343,41.144,1047000,"$211,524.29",28.5243835171888
6883,-73.376,41.223,681300,"$137,642.31",43.8353582012281
6896,-73.38600000000001,41.271,589200,"$119,035.45",50.6874228487724
6897,-73.439,41.21,703600,"$142,147.56",42.4460340285627
6902,-73.544,41.06,400900,"$80,993.40",74.4949601958012
6905,-73.553,41.117,464100,"$93,761.63",64.3504191822812
7005,-74.431,40.919000000000004,420800,"$85,013.77",70.972028380458
7008,-74.235,40.583,242400,"$48,971.81",123.205567419541
7011,-74.141,40.878,331100,"$66,891.78",90.1994247734724
7012,-74.161,40.848,357500,"$72,225.34",83.538544174816
7013,-74.17,40.873000000000005,344200,"$69,538.36",86.7665007045227
7026,-74.11,40.885,338000,"$68,285.78",88.3580755695169
7031,-74.127,40.787,391900,"$79,175.14",76.2057400931276
7035,-74.303,40.927,309300,"$62,487.55",96.5568365421814
7054,-74.408,40.852,474900,"$95,943.54",62.8869857706816
7055,-74.127,40.855,265800,"$53,699.29",112.359027624141
7059,-74.532,40.629,,$0.00,
7067,-74.315,40.591,326800,"$66,023.05",91.3862593099655
7070,-74.11,40.827,422200,"$85,296.61",70.7366876894759
7071,-74.117,40.8,364100,"$73,558.73",82.0242503227045
7080,-74.414,40.571999999999996,299700,"$60,548.07",99.6497482232123
7095,-74.288,40.553000000000004,250000,"$50,507.23",119.460118169987
7405,-74.426,40.998999999999995,348200,"$70,346.47",85.7697574454242
7410,-74.119,40.935,482000,"$97,377.94",61.96064220435
7424,-74.214,40.884,358100,"$72,346.56",83.3985745392257
7430,-74.173,41.053000000000004,510900,"$103,216.58",58.4557242953547
7442,-74.298,41,261100,"$52,749.75",114.381576187272
7444,-74.403,41.00899999999999,399100,"$80,629.75",74.8309434790697
7450,-74.112,40.982,710000,"$143,440.54",42.0634218908404
7452,-74.125,40.96,644400,"$130,187.44",46.3454834613543
7461,-74.597,41.243,185300,"$37,435.96",161.171233364796
7470,-74.241,40.949,407800,"$82,387.40",73.2345010850827
7480,-74.294,41.047,254200,"$51,355.75",117.486347531458
7481,-74.166,40.998000000000005,646600,"$130,631.91",46.187797003552
7506,-74.16199999999999,40.954,358000,"$72,326.36",83.4218702304378
7508,-74.186,40.952,,$0.00,
7601,-74.002,40.913000000000004,241800,"$48,850.60",123.511288430508
7621,-73.998,40.923,348200,"$70,346.47",85.7697574454242
7628,-73.99,40.955,374200,"$75,599.23",79.8103408404508
7631,-73.972,40.889,403900,"$81,599.49",73.9416428385658
7646,-74.018,40.933,376100,"$75,983.08",79.407151136657
7650,-74.01100000000001,40.94,639700,"$129,237.91",46.6859927192383
7652,-74.069,40.945,609900,"$123,217.45",48.9670922159316
7666,-73.986,40.915,381900,"$77,154.85",78.2011771209655
7670,-73.96,40.919000000000004,690900,"$139,581.79",43.2262694203166
7675,-74.021,41.011,505400,"$102,105.42",59.0918669222333
7712,-74.04899999999999,40.251,349800,"$70,669.72",85.3774429459597
7719,-74.112,40.257,457600,"$92,448.44",65.264487636575
7728,-74.306,40.236,,$0.00,
7731,-74.197,40.258,303300,"$61,275.37",98.4669618941534
7747,-74.234,40.408,334100,"$67,497.87",89.3894927940638
7801,-74.547,40.918,291600,"$58,911.64",102.417796784968
7834,-74.48899999999999,40.881,358900,"$72,508.18",83.2126763513422
7840,-74.845,40.869,244000,"$49,295.06",122.397662059413
7849,-74.613,40.951,243200,"$49,133.44",122.800285947766
7853,-74.795,40.806999999999995,437000,"$88,286.64",68.3410287013655
